,Model 1,Model 2,Winner,Model 1 Total Score,Model 2 Total Score
0,claude-3-5-sonnet-20240620,claude-3-opus-20240229,Model 2,1.4321896998513628,1.5678103001486372
1,claude-3-5-sonnet-20240620,gpt-4o,Model 2,1.3129814998854719,1.6870185001145286
2,claude-3-5-sonnet-20240620,gpt-4-turbo,Model 1,1.5158364399883473,1.4841635600116527
3,claude-3-5-sonnet-20240620,gpt-4,Model 1,1.8490001842652908,1.1509998157347092
4,claude-3-5-sonnet-20240620,gemini-1.5-pro,Model 2,1.409327074855951,1.590672925144049
5,claude-3-opus-20240229,gpt-4o,Model 2,1.3700054474065078,1.6299945525934922
6,claude-3-opus-20240229,gpt-4-turbo,Model 2,1.4459215318100438,1.5540784681899562
7,claude-3-opus-20240229,gpt-4,Model 1,1.9236319841504286,1.0763680158495712
8,claude-3-opus-20240229,gemini-1.5-pro,Model 1,1.6560609530992267,1.3439390469007733
9,gpt-4o,gpt-4-turbo,Model 2,1.4299156237716988,1.570084376228301
10,gpt-4o,gpt-4,Model 1,2.0307170657254847,0.9692829342745153
11,gpt-4o,gemini-1.5-pro,Model 1,1.5374691455088945,1.4625308544911053
12,gpt-4-turbo,gpt-4,Model 1,2.0311102638032934,0.9688897361967066
13,gpt-4-turbo,gemini-1.5-pro,Model 2,1.3851228640687343,1.6148771359312653
14,gpt-4,gemini-1.5-pro,Model 2,1.1189815252841586,1.8810184747158412
